FirstKO	FirstMu	FirstSubpoolID	FirstSubpoolNum	EsKcatNum	DKO	DKOMu	DKOSubpoolID	DKOSubpoolNum
usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715	0.0529324630122119	usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715
usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715	0.0529324630122119	usage_prot_P0A6B7_5	0.0894291886246479	subpool_P0A6B7	0.0242602151722799
usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715	0.0529324630122119	usage_prot_P0ABG1_5	0.0894293139030157	subpool_P0ABG1	0.0242602491575781
usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715	0.0529324630122119	usage_prot_P0AC13_5	0.0894285946223379	subpool_P0AC13	0.0242600540322312
usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715	0.0529324630122119	usage_prot_P0AEB0_5	0.0894293137877243	subpool_P0AEB0	0.0242602491263335
usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715	0.0529324630122119	usage_prot_P16676_5	0.0894293137877245	subpool_P16676	0.0242602491263335
usage_prot_P09832_5	0.0894293061831336	subpool_P09832	0.0242602470633715	0.0529324630122119	usage_prot_P38038_5	0.0894293140564102	subpool_P38038	0.024260249199222
usage_prot_P0A6B7_5	0.09	subpool_P0A6B7	0.000258737846934309	7.28119174482345e-05	usage_prot_P09832_5	0.0894291886246479	subpool_P09832	0.00025709684128965
usage_prot_P0A6B7_5	0.09	subpool_P0A6B7	0.000258737846934309	7.28119174482345e-05	usage_prot_P0A6B7_5	0.09	subpool_P0A6B7	0.000258737846934309
usage_prot_P0A6B7_5	0.09	subpool_P0A6B7	0.000258737846934309	7.28119174482345e-05	usage_prot_P0ABG1_5	0.09	subpool_P0ABG1	0.000258737846934309
usage_prot_P0A6B7_5	0.09	subpool_P0A6B7	0.000258737846934309	7.28119174482345e-05	usage_prot_P0AC13_5	0.09	subpool_P0AC13	0.000258737846934309
