FirstKO	WTMu	FirstMu	FirstSubpoolID	FirstSubpoolNum	EsKcatNum	DKO	DKOMu	DKOSubpoolID	DKOSubpoolNum
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P00904_3	0.11	subpool_P00904	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P00935_3	0.11	subpool_P00935	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P04036_3	0.11	subpool_P04036	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P04079_3	0.11	subpool_P04079	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P06959_3	0.109451233376066	subpool_P06959	0.0301259238407806
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P08179_3	0.11	subpool_P08179	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P09832_3	0.11	subpool_P09832	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0A7I7_3	0.11	subpool_P0A7I7	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0A825_3	0.11	subpool_P0A825	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0A836_3	0.106133071050999	subpool_P0A836	0.0292126156722663
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0AB98_3	0.11	subpool_P0AB98	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0ABA0_3	0.11	subpool_P0ABA0	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0ABA4_3	0.11	subpool_P0ABA4	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0ABA6_3	0.11	subpool_P0ABA6	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0ACD4_3	0.11	subpool_P0ACD4	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0AGG0_3	0.11	subpool_P0AGG0	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P0AGK1_3	0.11	subpool_P0AGK1	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P22634_3	0.11	subpool_P22634	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P23845_3	0.11	subpool_P23845	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P27300_3	0.11	subpool_P27300	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P33221_3	0.11	subpool_P33221	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P45578_3	0.11	subpool_P45578	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P69503_3	0.11	subpool_P69503	0.0302769692060565
usage_prot_P00904_3	0.11	0.11	subpool_P00904	0.0302769692060565	0.0154453064190326	usage_prot_P75809_3	0.11	subpool_P75809	0.0302769692060565
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P00904_3	0.11	subpool_P00904	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P00935_3	0.11	subpool_P00935	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P04036_3	0.11	subpool_P04036	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P04079_3	0.11	subpool_P04079	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P06959_3	0.109460744617906	subpool_P06959	0.0414449107779163
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P08179_3	0.11	subpool_P08179	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P09832_3	0.11	subpool_P09832	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0A7I7_3	0.11	subpool_P0A7I7	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0A825_3	0.11	subpool_P0A825	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0A836_3	0.106143411368072	subpool_P0A836	0.0401888752828177
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0AB98_3	0.11	subpool_P0AB98	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0ABA0_3	0.11	subpool_P0ABA0	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0ABA4_3	0.11	subpool_P0ABA4	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0ABA6_3	0.11	subpool_P0ABA6	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0ACD4_3	0.11	subpool_P0ACD4	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0AGG0_3	0.11	subpool_P0AGG0	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P0AGK1_3	0.11	subpool_P0AGK1	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P22634_3	0.11	subpool_P22634	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P23845_3	0.11	subpool_P23845	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P27300_3	0.11	subpool_P27300	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P33221_3	0.11	subpool_P33221	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P45578_3	0.11	subpool_P45578	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P69503_3	0.11	subpool_P69503	0.0416490880039646
usage_prot_P00935_3	0.11	0.11	subpool_P00935	0.0416490880039646	0.0416490880039657	usage_prot_P75809_3	0.11	subpool_P75809	0.0303755665831886
usage_prot_P04036_3	0.11	0.11	subpool_P04036	0.00444373591835756	0.00444373591831496	usage_prot_P00904_3	0.11	subpool_P00904	0.00444373591835756
usage_prot_P04036_3	0.11	0.11	subpool_P04036	0.00444373591835756	0.00444373591831496	usage_prot_P00935_3	0.11	subpool_P00935	0.00444373591835756
usage_prot_P04036_3	0.11	0.11	subpool_P04036	0.00444373591835756	0.00444373591831496	usage_prot_P04036_3	0.11	subpool_P04036	0.00444373591835756
