enzymes	ranges	minUsage	maxUsage
12DGR120tipp	0.0687083543539631	0	0.0687083543539631
12DGR140tipp	0.0715409003852354	0	0.0715409003852354
12DGR141tipp	0.071375896315355	0	0.071375896315355
12DGR160tipp	0.0713732539490861	0	0.0713732539490861
12DGR161tipp	0.0713732539491749	0	0.0713732539491749
12DGR180tipp	0.0713732548987345	0	0.0713732548987345
12DGR181tipp	0.0713732539641132	0	0.0713732539641132
12PPDRtex_EXP_1	16.5703428279633	0	16.5703428279633
12PPDRtex_EXP_2	1.71827139037096	0	1.71827139037096
12PPDRtex_EXP_3	1.76274039566921	0	1.76274039566921
12PPDRtex_EXP_4	13.5509351492852	0	13.5509351492852
12PPDRtex_REV_EXP_1	16.5701927762305	0	16.5701927762305
12PPDRtex_REV_EXP_2	2.0408171850886	0	2.0408171850886
12PPDRtex_REV_EXP_3	1.63632559126661	0	1.63632559126661
12PPDRtex_REV_EXP_4	8.50217366766834	0	8.50217366766834
12PPDRtpp	1000	0	1000
12PPDRtpp_REV	1000	0	1000
12PPDStex_EXP_1	61.9428868955733	0	61.9428868955733
12PPDStex_EXP_2	2.24318671033162	0	2.24318671033162
12PPDStex_EXP_3	0.484644428679037	0	0.484644428679037
12PPDStex_EXP_4	13.6217329859883	0	13.6217329859883
12PPDStex_REV_EXP_1	61.9423356546732	0	61.9423356546732
12PPDStex_REV_EXP_2	2.27368634505886	0	2.27368634505886
12PPDStex_REV_EXP_3	1.77784124588837	0	1.77784124588837
12PPDStex_REV_EXP_4	13.8366495191733	0	13.8366495191733
12PPDStpp	1000	0	1000
12PPDStpp_REV	1000	0	1000
13PPDH2	0.0004440389310293	0	0.0004440389310293
13PPDH2_REV	0.0004440389310293	0	0.0004440389310293
14GLUCANabcpp_Partial_1	0	0	0
14GLUCANabcpp_Partial_2	0	0	0
14GLUCANabcpp_Partial_3	0	0	0
14GLUCANabcpp_Partial_4	0	0	0
14GLUCANtexi	0	0	0
23CAMPtex_EXP_1	10.3063862951711	0	10.3063862951711
23CAMPtex_EXP_2	1.41837137249193	0	1.41837137249193
23CAMPtex_EXP_3	3.00365044053323	0	3.00365044053323
23CAMPtex_EXP_4	17.756552921388	0	17.756552921388
23CAMPtex_REV_EXP_1	17.7565529214267	0	17.7565529214267
23CAMPtex_REV_EXP_2	1.39977291345637	0	1.39977291345637
23CAMPtex_REV_EXP_3	2.87475378349301	0	2.87475378349301
23CAMPtex_REV_EXP_4	14.4535324762225	0	14.4535324762225
23CCMPtex_EXP_1	23.3911621447205	0	23.3911621447205
23CCMPtex_EXP_2	1.43007619876336	0	1.43007619876336
23CCMPtex_EXP_3	8.11852504094063	0	8.11852504094063
23CCMPtex_EXP_4	17.7851127240139	0	17.7851127240139
23CCMPtex_REV_EXP_1	23.3911621446799	0	23.3911621446799
23CCMPtex_REV_EXP_2	1.44612144136592	0	1.44612144136592
23CCMPtex_REV_EXP_3	8.30046247139907	0	8.30046247139907
23CCMPtex_REV_EXP_4	18.5581430589586	0	18.5581430589586
23CGMPtex_EXP_1	12.3474630048012	0	12.3474630048012
23CGMPtex_EXP_2	1.34105347690825	0	1.34105347690825
23CGMPtex_EXP_3	1.92387347150342	0	1.92387347150342
23CGMPtex_EXP_4	9.79688822726115	0	9.79688822726115
23CGMPtex_REV_EXP_1	12.3474667781076	0	12.3474667781076
23CGMPtex_REV_EXP_2	1.35278803552995	0	1.35278803552995
23CGMPtex_REV_EXP_3	1.92375123090031	0	1.92375123090031
23CGMPtex_REV_EXP_4	9.80808921899152	0	9.80808921899152
23CUMPtex_EXP_1	16.6366719791849	0	16.6366719791849
23CUMPtex_EXP_2	4.56794921974617	0	4.56794921974617
23CUMPtex_EXP_3	2.09962896087834	0	2.09962896087834
23CUMPtex_EXP_4	11.7927554030518	0	11.7927554030518
23CUMPtex_REV_EXP_1	16.6366731926194	0	16.6366731926194
23CUMPtex_REV_EXP_2	4.73067618212125	0	4.73067618212125
23CUMPtex_REV_EXP_3	2.14749782800515	0	2.14749782800515
23CUMPtex_REV_EXP_4	12.9241663400936	0	12.9241663400936
23DAPPAt2pp	0	0	0
23DAPPAtex_EXP_1	11.48480319616	0	11.48480319616
23DAPPAtex_EXP_2	1.33576319837299	0	1.33576319837299
23DAPPAtex_EXP_3	0.60677383128486	0	0.60677383128486
23DAPPAtex_EXP_4	9.24654622081491	0	9.24654622081491
23DAPPAtex_REV_EXP_1	11.4848031961911	0	11.4848031961911
23DAPPAtex_REV_EXP_2	1.44159418545515	0	1.44159418545515
23DAPPAtex_REV_EXP_3	1.68855948875849	0	1.68855948875849
23DAPPAtex_REV_EXP_4	9.29922112189097	0	9.29922112189097
23DOGULNt4pp_Partial_1	0	0	0
23DOGULNt4pp_Partial_2	0	0	0
23DOGULNt4pp_Partial_3	0	0	0
23PDE2pp	0	0	0
23PDE4pp	0	0	0
23PDE7pp	0	0	0
23PDE9pp	0	0	0
26DAHtex_EXP_1	6.92634848999952	0	6.92634848999952
26DAHtex_EXP_2	1.27172725945621	0	1.27172725945621
26DAHtex_EXP_3	1.82935464986464	0	1.82935464986464
26DAHtex_EXP_4	6.24959688019131	0	6.24959688019131
26DAHtex_REV_EXP_1	6.92635060664346	0	6.92635060664346
26DAHtex_REV_EXP_2	1.385793745677	0	1.385793745677
26DAHtex_REV_EXP_3	2.08180203583154	0	2.08180203583154
26DAHtex_REV_EXP_4	5.62234673045183	0	5.62234673045183
2AGPA120tipp	0.0416310861011997	0	0.0416310861011997
2AGPA140tipp	0.0265825168642269	0	0.0265825168642269
