FirstKO	FirstMu	FirstSubpoolID	FirstSubpoolNum	EsKcatNum	DKO	DKOMu	DKOSubpoolID	DKOSubpoolNum
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P00935_2	0.07	subpool_P00935	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P05041_2	0.07	subpool_P05041	0.0193299060074423
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P06986_2	0.07	subpool_P06986	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P08142_2	0.07	subpool_P08142	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A6C5_2	0.07	subpool_P0A6C5	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A6E6_2	0.07	subpool_P0A6E6	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A6P9_2	0.0688243296502582	subpool_P0A6P9	0.0190052546167317
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A763_2	0.07	subpool_P0A763	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A786_2	0.07	subpool_P0A786	0.0195020324822508
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A799_2	0.0673238242445449	subpool_P0A799	0.0254906898247688
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A7D4_2	0.07	subpool_P0A7D4	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A7E1_2	0.07	subpool_P0A7E1	0.0265040666661207
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0A9P4_2	0.07	subpool_P0A9P4	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AAC8_2	0.07	subpool_P0AAC8	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AAI9_2	0.07	subpool_P0AAI9	0.019487688609388
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0ABA6_2	0.07	subpool_P0ABA6	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0ABB4_2	0.07	subpool_P0ABB4	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0ABQ0_2	0.07	subpool_P0ABQ0	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0ACB4_2	0.07	subpool_P0ACB4	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AD68_2	0.07	subpool_P0AD68	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0ADC6_2	0.07	subpool_P0ADC6	0.0265040666661207
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0ADF8_2	0.07	subpool_P0ADF8	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0ADV1_2	0.07	subpool_P0ADV1	0.0265040666661207
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AEI6_2	0.07	subpool_P0AEI6	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AEN1_2	0.07	subpool_P0AEN1	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AEW6_2	0.07	subpool_P0AEW6	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AF98_2	0.07	subpool_P0AF98	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AFG3_2	0.07	subpool_P0AFG3	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AG07_2	0.07	subpool_P0AG07	0.019329906007556
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AGE9_2	0.07	subpool_P0AGE9	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AGG2_2	0.07	subpool_P0AGG2	0.0193299060074423
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P0AGG4_2	0.07	subpool_P0AGG4	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P25553_2	0.0567262428845571	subpool_P25553	0.0157923336759597
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P28305_2	0.07	subpool_P28305	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P30147_2	0.07	subpool_P30147	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P33602_2	0.07	subpool_P33602	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P33607_2	0.07	subpool_P33607	0.0242578946997583
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P45568_2	0.07	subpool_P45568	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P46022_2	0.07	subpool_P46022	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P61889_2	0.07	subpool_P61889	0.0193299060074423
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P62620_2	0.07	subpool_P62620	0.0193442498803051
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P68066_2	0.07	subpool_P68066	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P69441_2	0.07	subpool_P69441	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P76461_2	0.07	subpool_P76461	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P77161_2	0.07	subpool_P77161	0.0265040666661207
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_P77433_2	0.07	subpool_P77433	0.0265039650934114
usage_prot_P00935_2	0.07	subpool_P00935	0.0265040666661207	0.0265039650934327	usage_prot_Q46822_2	0.07	subpool_Q46822	0.0265039650934114
usage_prot_P05041_2	0.07	subpool_P05041	0.0017475878910318	0.000157077185999983	usage_prot_P00935_2	0.07	subpool_P00935	0.0017475878910318
usage_prot_P05041_2	0.07	subpool_P05041	0.0017475878910318	0.000157077185999983	usage_prot_P05041_2	0.07	subpool_P05041	0.0017475878910318
