enzymes	ranges	minUsage	maxUsage
12DGR120tipp	0.573336409410785	0	0.573336409410785
12DGR140tipp	0.601032373465109	0	0.601032373465109
12DGR141tipp	0.599267757859398	0	0.599267757859398
12DGR160tipp	0.599241980266717	0	0.599241980266717
12DGR161tipp	0.599241987694859	0	0.599241987694859
12DGR180tipp	0.599241988912662	0	0.599241988912662
12DGR181tipp	0.599241979604276	0	0.599241979604276
12PPDRtex_EXP_1	120.550956837761	0	120.550956837761
12PPDRtex_EXP_2	12.5006030126276	0	12.5006030126276
12PPDRtex_EXP_3	12.8241196495984	0	12.8241196495984
12PPDRtex_EXP_4	98.5844482150584	0	98.5844482150584
12PPDRtex_REV_EXP_1	120.550956973128	0	120.550956973128
12PPDRtex_REV_EXP_2	14.8472891043168	0	14.8472891043168
12PPDRtex_REV_EXP_3	11.9045454785795	0	11.9045454785795
12PPDRtex_REV_EXP_4	61.8541973646506	0	61.8541973646506
12PPDRtpp	1000	0	1000
12PPDRtpp_REV	1000	0	1000
12PPDStex_EXP_1	450.64094208616	0	450.64094208616
12PPDStex_EXP_2	16.3195557874458	0	16.3195557874458
12PPDStex_EXP_3	3.52583852334294	0	3.52583852334294
12PPDStex_EXP_4	99.0995225956717	0	99.0995225956717
12PPDStex_REV_EXP_1	450.640937170672	0	450.640937170672
12PPDStex_REV_EXP_2	16.5413043486305	0	16.5413043486305
12PPDStex_REV_EXP_3	12.9339799051829	0	12.9339799051829
12PPDStex_REV_EXP_4	100.663062742395	0	100.663062742395
12PPDStpp	1000	0	1000
12PPDStpp_REV	1000	0	1000
13PPDH2	0.00323045695380675	0	0.00323045695380675
13PPDH2_REV	0.00323045695380675	0	0.00323045695380675
14GLUCANabcpp_Partial_1	0	0	0
14GLUCANabcpp_Partial_2	0	0	0
14GLUCANabcpp_Partial_3	0	0	0
14GLUCANabcpp_Partial_4	0	0	0
14GLUCANtexi	0	0	0
23CAMPtex_EXP_1	74.9800318477309	0	74.9800318477309
23CAMPtex_EXP_2	10.3187992022498	0	10.3187992022498
23CAMPtex_EXP_3	21.851869243065	0	21.851869243065
23CAMPtex_EXP_4	129.180766899967	0	129.180766899967
23CAMPtex_REV_EXP_1	129.180768644088	0	129.180768644088
23CAMPtex_REV_EXP_2	10.1834934790848	0	10.1834934790848
23CAMPtex_REV_EXP_3	20.9143200249602	0	20.9143200249602
23CAMPtex_REV_EXP_4	105.151335654156	0	105.151335654156
23CCMPtex_EXP_1	170.174661099632	0	170.174661099632
23CCMPtex_EXP_2	10.4040454773339	0	10.4040454773339
23CCMPtex_EXP_3	59.0631138146896	0	59.0631138146896
23CCMPtex_EXP_4	129.388542430322	0	129.388542430322
23CCMPtex_REV_EXP_1	170.174663398255	0	170.174663398255
23CCMPtex_REV_EXP_2	10.5206838385177	0	10.5206838385177
23CCMPtex_REV_EXP_3	60.3872692764312	0	60.3872692764312
23CCMPtex_REV_EXP_4	135.012418412854	0	135.012418412854
23CGMPtex_EXP_1	89.8290771200462	0	89.8290771200462
23CGMPtex_EXP_2	9.7563033772609	0	9.7563033772609
23CGMPtex_EXP_3	13.9963793404587	0	13.9963793404587
23CGMPtex_EXP_4	71.2739885015213	0	71.2739885015213
23CGMPtex_REV_EXP_1	89.8290772151055	0	89.8290772151055
23CGMPtex_REV_EXP_2	9.84167351023763	0	9.84167351023763
23CGMPtex_REV_EXP_3	13.9954900274081	0	13.9954900274081
23CGMPtex_REV_EXP_4	71.3548688108122	0	71.3548688108122
23CUMPtex_EXP_1	121.03351835595	0	121.03351835595
23CUMPtex_EXP_2	33.2323055013192	0	33.2323055013192
23CUMPtex_EXP_3	15.2750143199126	0	15.2750143199126
23CUMPtex_EXP_4	85.7935217354284	0	85.7935217354284
23CUMPtex_REV_EXP_1	121.033518355937	0	121.033518355937
23CUMPtex_REV_EXP_2	34.4161610709265	0	34.4161610709265
23CUMPtex_REV_EXP_3	15.6232699896668	0	15.6232699896668
23CUMPtex_REV_EXP_4	94.0246538438856	0	94.0246538438856
23DAPPAt2pp	0	0	0
23DAPPAtex_EXP_1	83.5531361938851	0	83.5531361938851
23DAPPAtex_EXP_2	9.71781317715459	0	9.71781317715459
23DAPPAtex_EXP_3	4.41434221653221	0	4.41434221653221
23DAPPAtex_EXP_4	67.2701886716986	0	67.2701886716986
23DAPPAtex_REV_EXP_1	83.5531373219543	0	83.5531373219543
23DAPPAtex_REV_EXP_2	10.4877474394891	0	10.4877474394891
23DAPPAtex_REV_EXP_3	12.2844420854365	0	12.2844420854365
23DAPPAtex_REV_EXP_4	67.653048576205	0	67.653048576205
23DOGULNt4pp_Partial_1	0	0	0
23DOGULNt4pp_Partial_2	0	0	0
23DOGULNt4pp_Partial_3	0	0	0
23PDE2pp	0	0	0
23PDE4pp	0	0	0
23PDE7pp	0	0	0
23PDE9pp	0	0	0
26DAHtex_EXP_1	50.3899053940701	0	50.3899053940701
26DAHtex_EXP_2	9.25203105354106	0	9.25203105354106
26DAHtex_EXP_3	13.308743703574	0	13.308743703574
26DAHtex_EXP_4	45.4668549692173	0	45.4668549692173
26DAHtex_REV_EXP_1	50.3899053940688	0	50.3899053940688
26DAHtex_REV_EXP_2	10.0817935781654	0	10.0817935781654
26DAHtex_REV_EXP_3	15.1453240719761	0	15.1453240719761
26DAHtex_REV_EXP_4	40.9031570169243	0	40.9031570169243
2AGPA120tipp	0.151787356498867	0	0.151787356498867
2AGPA140tipp	0.156565667300452	0	0.156565667300452
2AGPA141tipp	0.15767048709409	0	0.15767048709409
2AGPA160tipp	0.158284462390903	0	0.158284462390903
2AGPA161tipp	0.147385112278164	0	0.147385112278164
2AGPA180tipp	0.155258512473392	0	0.155258512473392
2AGPA181tipp	0.158210789556967	0	0.158210789556967
2AGPE120tipp	0.236710741601609	0	0.236710741601609
2AGPE140tipp	0.234236592117611	0	0.234236592117611
2AGPE141tipp	0.239302182650321	0	0.239302182650321
2AGPE160tipp	0.235228866305905	0	0.235228866305905
2AGPE161tipp	0.233990688050638	0	0.233990688050638
2AGPE180tipp	0.232714869133049	0	0.232714869133049
2AGPE181tipp	0.225416104464621	0	0.225416104464621
2AGPEAT120	0.236710738143987	0	0.236710738143987
2AGPEAT140	0.234236594713457	0	0.234236594713457
2AGPEAT141	0.239302185361643	0	0.239302185361643
2AGPEAT160	0.2352288663059	0	0.2352288663059
2AGPEAT161	0.233990688050616	0	0.233990688050616
2AGPEAT180	0.232714869133043	0	0.232714869133043
2AGPEAT181	0.225416104464599	0	0.225416104464599
2AGPG120tipp	0.234174377048227	0	0.234174377048227
2AGPG140tipp	0.232624142822471	0	0.232624142822471
2AGPG141tipp	0.2321475833536	0	0.2321475833536
2AGPG160tipp	0.231130580162951	0	0.231130580162951
2AGPG161tipp	0.235073626069866	0	0.235073626069866
2AGPG180tipp	0.231459587172895	0	0.231459587172895
2AGPG181tipp	0.232587231026217	0	0.232587231026217
2AGPGAT120	0.234174379701478	0	0.234174379701478
2AGPGAT140	0.232624142826497	0	0.232624142826497
2AGPGAT141	0.232147585889819	0	0.232147585889819
2AGPGAT160	0.231130577046389	0	0.231130577046389
2AGPGAT161	0.235073626073953	0	0.235073626073953
2AGPGAT180	0.231459587176922	0	0.231459587176922
2AGPGAT181	0.232587231030282	0	0.232587231030282
2DDARAA_EXP_1	7.47445106598091	0	7.47445106598091
2DDARAA_EXP_2	3.51675116601332	0	3.51675116601332
2DDARAA_REV_EXP_1	7.47445106606606	0	7.47445106606606
2DDARAA_REV_EXP_2	5.10927769444685	0	5.10927769444685
2DGLCptspp_Partial_1	0	0	0
2DGLCptspp_Partial_2	0	0	0
2DGLCptspp_Partial_3	0	0	0
2DGLCptspp_Partial_4	0	0	0
2DGLCptspp_Partial_5	0	0	0
2DGLCtex_EXP_1	64.5030503488986	0	64.5030503488986
2DGLCtex_EXP_2	79.8904527141888	0	79.8904527141888
2DGLCtex_EXP_3	18.9273721498386	0	18.9273721498386
2DGLCtex_EXP_4	20.2189047457999	0	20.2189047457999
2DGLCtex_REV_EXP_1	64.5030503485122	0	64.5030503485122
2DGLCtex_REV_EXP_2	79.8904527141705	0	79.8904527141705
2DGLCtex_REV_EXP_3	55.1969509287847	0	55.1969509287847
2DGLCtex_REV_EXP_4	20.2189047457989	0	20.2189047457989
2DGULRGx	0	0	0
2DGULRGy	0	0	0
2DGULRx	0	0	0
2DGULRy	0	0	0
2DOXG6PP_EXP_1	0	0	0
2DOXG6PP_EXP_2	0	0	0
2DOXG6PP_EXP_3	0	0	0
2DOXG6PP_EXP_4	0	0	0
2HESR_EXP_1	0	0	0
2HESR_EXP_2	0	0	0
2HPTCOAT	0	0	0
2MAHMP_EXP_1	0.182143504385302	0	0.182143504385302
2MAHMP_EXP_2	0.148719561286993	0	0.148719561286993
34dhpactex_EXP_1	69.2999799410922	0	69.2999799410922
34dhpactex_EXP_2	9.83699701398447	0	9.83699701398447
34dhpactex_EXP_3	19.2941489500707	0	19.2941489500707
34dhpactex_EXP_4	57.8694464644253	0	57.8694464644253
34dhpactex_REV_EXP_1	45.4375266988776	0	45.4375266988776
34dhpactex_REV_EXP_2	5.54042624645487	0	5.54042624645487
34dhpactex_REV_EXP_3	10.0054561331565	0	10.0054561331565
34dhpactex_REV_EXP_4	69.2999790054246	0	69.2999790054246
3AMACHYD	0.14980892853379	0	0.14980892853379
3AMPtex_EXP_1	79.8904517200913	0	79.8904517200913
3AMPtex_EXP_2	9.69043083110217	0	9.69043083110217
3AMPtex_EXP_3	20.2189047457968	0	20.2189047457968
3AMPtex_EXP_4	64.5030503485013	0	64.5030503485013
3AMPtex_REV_EXP_1	79.8904517200934	0	79.8904517200934
3AMPtex_REV_EXP_2	20.0495753332218	0	20.0495753332218
3AMPtex_REV_EXP_3	9.5955044765441	0	9.5955044765441
3AMPtex_REV_EXP_4	64.5030503489019	0	64.5030503489019
3CMPtex_EXP_1	9.18162971712609	0	9.18162971712609
3CMPtex_EXP_2	20.9723496996394	0	20.9723496996394
3CMPtex_EXP_3	20.2189047457999	0	20.2189047457999
3CMPtex_EXP_4	64.5030503485062	0	64.5030503485062
3CMPtex_REV_EXP_1	64.503049549317	0	64.503049549317
3CMPtex_REV_EXP_2	20.0917911012389	0	20.0917911012389
3CMPtex_REV_EXP_3	18.4531354750385	0	18.4531354750385
3CMPtex_REV_EXP_4	54.0857882403151	0	54.0857882403151
3GMPtex_EXP_1	77.6838130723009	0	77.6838130723009
3GMPtex_EXP_2	21.9198033944296	0	21.9198033944296
3GMPtex_EXP_3	19.4616490955274	0	19.4616490955274
3GMPtex_EXP_4	63.7717686275868	0	63.7717686275868
3GMPtex_REV_EXP_1	77.6838130722945	0	77.6838130722945
3GMPtex_REV_EXP_2	22.8876905944337	0	22.8876905944337
3GMPtex_REV_EXP_3	19.4616491162377	0	19.4616491162377
3GMPtex_REV_EXP_4	9.34846960175217	0	9.34846960175217
3HAD100_EXP_1	0.0252447580612083	0	0.0252447580612083
3HAD100_EXP_2	0.025247741806243	0	0.025247741806243
3HAD120_EXP_1	0.0455153360144445	0	0.0455153360144445
3HAD120_EXP_2	0.0455059672376292	0	0.0455059672376292
3HAD121_EXP_1	0.0218586012341261	0	0.0218586012341261
3HAD121_EXP_2	0.021860905076408	0	0.021860905076408
3HAD140_EXP_1	0.0618132077528327	0	0.0618132077528327
3HAD140_EXP_2	0.0618311730666779	0	0.0618311730666779
3HAD141_EXP_1	0.0218586012341211	0	0.0218586012341211
3HAD141_EXP_2	0.0218609050764178	0	0.0218609050764178
3HAD160_EXP_1	0.063733613585279	0	0.063733613585279
3HAD160_EXP_2	0.06375192003465	0	0.06375192003465
3HAD161_EXP_1	0.0646880178433849	0	0.0646880178433849
3HAD161_EXP_2	0.0647065531080329	0	0.0647065531080329
3HAD180_EXP_1	0.0606322199555918	0	0.0606322199555918
3HAD180_EXP_2	0.0606499494419073	0	0.0606499494419073
3HAD181_EXP_1	0.0586933717097498	0	0.0586933717097498
3HAD181_EXP_2	0.0587098653955668	0	0.0587098653955668
3HAD40_EXP_1	0.0130231264319264	0	0.0130231264319264
3HAD40_EXP_2	0.0130239204186882	0	0.0130239204186882
3HAD60_EXP_1	0.0130231264319273	0	0.0130231264319273
3HAD60_EXP_2	0.0130239204400551	0	0.0130239204400551
3HAD80_EXP_1	0.0130231264319319	0	0.0130231264319319
3HAD80_EXP_2	0.0130239204400542	0	0.0130239204400542
3HBZCT	0	0	0
3HCINNMH	0	0	0
3HPADHi	0	0	0
3HPPPNH	0	0	0
3HPPtex_EXP_1	98.6884710686777	0	98.6884710686777
3HPPtex_EXP_2	136.800486335718	0	136.800486335718
3HPPtex_EXP_3	12.8258782378208	0	12.8258782378208
