FirstKO	WTMu	FirstMu	FirstSubpoolID	FirstSubpoolNum	EsKcatNum	DKO	DKOMu	DKOSubpoolID	DKOSubpoolNum
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P00562_4	0.11	subpool_P00562	0.498873471272987
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P00904_4	0.11	subpool_P00904	0.498873471272987
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P00944_4	0.104562569509056	subpool_P00944	0.474213563783736
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P06999_4	0.11	subpool_P06999	0.498873471272987
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P09373_4	0.11	subpool_P09373	0.446079468227367
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P0ABY4_4	0.11	subpool_P0ABY4	0.498873471272987
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P24186_4	0.11	subpool_P24186	0.924417432290397
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P27302_4	0.11	subpool_P27302	0.498873471272987
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P28903_4	0.11	subpool_P28903	0.498873471272987
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P38038_4	0.11	subpool_P38038	0.498873471272987
usage_prot_P00562_4	0.11	0.11	subpool_P00562	0.498873471272987	0.498873471273035	usage_prot_P68699_4	0.108011019955255	subpool_P68699	0.489853022371085
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P00562_4	0.11	subpool_P00562	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P00904_4	0.11	subpool_P00904	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P00944_4	0.104527349472736	subpool_P00944	0.0379235795821534
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P06999_4	0.11	subpool_P06999	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P09373_4	0.11	subpool_P09373	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P0ABY4_4	0.11	subpool_P0ABY4	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P24186_4	0.11	subpool_P24186	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P27302_4	0.11	subpool_P27302	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P28903_4	0.11	subpool_P28903	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P38038_4	0.11	subpool_P38038	0.0399091125440236
usage_prot_P00904_4	0.11	0.11	subpool_P00904	0.0399091125440236	0.0154453064190326	usage_prot_P68699_4	0.107976226538654	subpool_P68699	0.0391748670637374
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P00562_4	0.104562569509056	subpool_P00562	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P00904_4	0.104527349472736	subpool_P00904	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P00944_4	0.104562569509056	subpool_P00944	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P06999_4	0.104562569527735	subpool_P06999	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P09373_4	0.104547009296423	subpool_P09373	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P0ABY4_4	0.104562569495425	subpool_P0ABY4	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P24186_4	0.103460008504816	subpool_P24186	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P27302_4	0.104561496320212	subpool_P27302	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P28903_4	0.104562569509055	subpool_P28903	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P38038_4	0.104562569524703	subpool_P38038	0
usage_prot_P00944_4	0.11	0.10456256968985	subpool_P00944	0	0.609551252555437	usage_prot_P68699_4	0.100048504578675	subpool_P68699	0
usage_prot_P06999_4	0.11	0.11	subpool_P06999	0.106036740504692	0.10123205752925	usage_prot_P00562_4	0.11	subpool_P00562	0.106036740504692
usage_prot_P06999_4	0.11	0.11	subpool_P06999	0.106036740504692	0.10123205752925	usage_prot_P00904_4	0.11	subpool_P00904	0.106036740504692
usage_prot_P06999_4	0.11	0.11	subpool_P06999	0.106036740504692	0.10123205752925	usage_prot_P00944_4	0.104562569527735	subpool_P00944	0.101826786001221
usage_prot_P06999_4	0.11	0.11	subpool_P06999	0.106036740504692	0.10123205752925	usage_prot_P06999_4	0.11	subpool_P06999	0.106036740504692
usage_prot_P06999_4	0.11	0.11	subpool_P06999	0.106036740504692	0.10123205752925	usage_prot_P09373_4	0.11	subpool_P09373	0.106036740504692
usage_prot_P06999_4	0.11	0.11	subpool_P06999	0.106036740504692	0.10123205752925	usage_prot_P0ABY4_4	0.11	subpool_P0ABY4	0.106036740504692
