FirstKO	FirstMu	FirstSubpoolID	FirstSubpoolNum	EsKcatNum	DKO	DKOMu	DKOSubpoolID	DKOSubpoolNum
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P00904_4	0.09	subpool_P00904	0.364091042360315
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P02919_4	0.09	subpool_P02919	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P09373_4	0.09	subpool_P09373	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P23908_4	0.09	subpool_P23908	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P24186_4	0.0892393242551743	subpool_P24186	0.749948972611635
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P27302_4	0.09	subpool_P27302	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P28903_4	0.09	subpool_P28903	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P60546_4	0.09	subpool_P60546	0.408169203768807
usage_prot_P00562_4	0.09	subpool_P00562	0.408169203768807	0.408169203768807	usage_prot_P68699_4	0.0865750185568127	subpool_P68699	0.39263618211786
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P00562_4	0.09	subpool_P00562	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P02919_4	0.09	subpool_P02919	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P09373_4	0.09	subpool_P09373	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P23908_4	0.09	subpool_P23908	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P24186_4	0.0892171716737614	subpool_P24186	0.0323688922289857
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P27302_4	0.09	subpool_P27302	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P28903_4	0.09	subpool_P28903	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P60546_4	0.09	subpool_P60546	0.0326529102633231
usage_prot_P00904_4	0.09	subpool_P00904	0.0326529102633231	0.0126370688883526	usage_prot_P68699_4	0.086553962954826	subpool_P68699	0.0314026531699653
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P00562_4	0.09	subpool_P00562	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P00904_4	0.09	subpool_P00904	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P02919_4	0.09	subpool_P02919	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P09373_4	0.09	subpool_P09373	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P23908_4	0.09	subpool_P23908	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P24186_4	0.0892393241747946	subpool_P24186	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P27302_4	0.09	subpool_P27302	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P28903_4	0.09	subpool_P28903	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P60546_4	0.09	subpool_P60546	0
usage_prot_P02919_4	0.09	subpool_P02919	0	0.00368172937794498	usage_prot_P68699_4	0.086575026337936	subpool_P68699	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P00562_4	0.09	subpool_P00562	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P00904_4	0.09	subpool_P00904	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P02919_4	0.09	subpool_P02919	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P09373_4	0.09	subpool_P09373	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P23908_4	0.09	subpool_P23908	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P24186_4	0.0891507911752087	subpool_P24186	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P27302_4	0.09	subpool_P27302	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P28903_4	0.09	subpool_P28903	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P60546_4	0.09	subpool_P60546	0
usage_prot_P09373_4	0.09	subpool_P09373	0	0.00304598264403921	usage_prot_P68699_4	0.0865657206437147	subpool_P68699	0
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P00562_4	0.09	subpool_P00562	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P00904_4	0.09	subpool_P00904	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P02919_4	0.09	subpool_P02919	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P09373_4	0.09	subpool_P09373	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P23908_4	0.09	subpool_P23908	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P24186_4	0.0892393242551751	subpool_P24186	0.0138876774611015
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P27302_4	0.09	subpool_P27302	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P28903_4	0.09	subpool_P28903	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P60546_4	0.09	subpool_P60546	0.0140060559840549
usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.0140060559840549	0.0140060559840549	usage_prot_P68699_4	0.0865750262273467	subpool_P68699	0.0134730518240345
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P00562_4	0.09	subpool_P00562	0.00451157365068866
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P00904_4	0.09	subpool_P00904	0.00451157365068866
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P02919_4	0.09	subpool_P02919	0.00451157365068866
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P09373_4	0.09	subpool_P09373	0.00446416817237605
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P0A8K1_4	0.09	subpool_P0A8K1	0.00446416817237605
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P23908_4	0.09	subpool_P23908	0.00451157365068866
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P24186_4	0.0892393242551754	subpool_P24186	0.00447344204352464
usage_prot_P0ABY4_4	0.09	subpool_P0ABY4	0.00451157365068866	0.00451157365068866	usage_prot_P27302_4	0.09	subpool_P27302	0.00451157365068866
