FirstKO	FirstMu	FirstSubpoolID	FirstSubpoolNum	EsKcatNum	DKO	DKOMu	DKOSubpoolID	DKOSubpoolNum
usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259	0.933326960169746	usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259
usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259	0.933326960169746	usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.886660612161259
usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259	0.933326960169746	usage_prot_P21151_5	0.095	subpool_P21151	0.886660612161259
usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006679323311	0.020632275561773	usage_prot_P00562_5	0.095	subpool_P00562	0.0196006617836943
usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006679323311	0.020632275561773	usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006617836806
usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006679323311	0.020632275561773	usage_prot_P21151_5	0.095	subpool_P21151	0.0196006617836878
usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576	0.29979547008	usage_prot_P00562_5	0.095	subpool_P00562	0.284805696576
usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576	0.29979547008	usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.284805696576
usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576	0.29979547008	usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576
usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259	0.933326960169746	usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259
usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259	0.933326960169746	usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.886660612161259
usage_prot_P00562_5	0.095	subpool_P00562	0.886660612161259	0.933326960169746	usage_prot_P21151_5	0.095	subpool_P21151	0.886660612161259
usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006679323311	0.020632275561773	usage_prot_P00562_5	0.095	subpool_P00562	0.0196006617836943
usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006679323311	0.020632275561773	usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006617836806
usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.0196006679323311	0.020632275561773	usage_prot_P21151_5	0.095	subpool_P21151	0.0196006617836878
usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576	0.29979547008	usage_prot_P00562_5	0.095	subpool_P00562	0.284805696576
usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576	0.29979547008	usage_prot_P0AGG4_5	0.095	subpool_P0AGG4	0.284805696576
usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576	0.29979547008	usage_prot_P21151_5	0.095	subpool_P21151	0.284805696576
